Provider Type Code,Provider Type Description,Provider Specialty Code,Provider Specialty Description,nucc_code,Taxonomy Description,match_confidence
"=""01""",GENERAL HOSPITAL,"=""200""",HOSPITAL WITH BIRTH/DELIVERY SERVICES,282N00000X,GENERAL ACUTE CARE HOSPITAL,source
"=""01""",GENERAL HOSPITAL,"=""200""",HOSPITAL WITH BIRTH/DELIVERY SERVICES,282NW0100X,GENERAL ACUTE CARE HOSPITAL - WOMEN,source
"=""01""",GENERAL HOSPITAL,"=""200""",HOSPITAL WITH BIRTH/DELIVERY SERVICES,284300000X,SPECIAL HOSPITAL,source
"=""01""",GENERAL HOSPITAL,"=""201""",EMERGENCY SERVICES,282N00000X,GENERAL ACUTE CARE HOSPITAL,source
"=""01""",GENERAL HOSPITAL,"=""201""",EMERGENCY SERVICES,284300000X,SPECIAL HOSPITAL,source
"=""01""",GENERAL HOSPITAL,"=""210""",PSYCHIATRIC COMMUNITY HOSPITAL/CSU CAP ONLY ADULT,284300000X,SPECIAL HOSPITAL,source
"=""01""",GENERAL HOSPITAL,"=""211""",PSYCHIATRIC COMMUNITY HOSPITAL/CSU CAP ONLY CHILD,284300000X,SPECIAL HOSPITAL,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,261QC0050X,CLINIC/CENTER - CRITICAL ACCESS HOSPITAL,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,273100000X,EPILEPSY UNIT,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,273R00000X,PSYCHIATRIC UNIT,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,273Y00000X,REHABILITATION UNIT,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,276400000X,"REHABILITATION, SUBSTANCE USE DISORDER UNIT",source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,282N00000X,GENERAL ACUTE CARE HOSPITAL,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,282NC0060X,GENERAL ACUTE CARE HOSPITAL - CRITICAL ACCESS,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,282NC2000X,GENERAL ACUTE CARE HOSPITAL - CHILDREN,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,282NR1301X,GENERAL ACUTE CARE HOSPITAL - RURAL,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,282NW0100X,GENERAL ACUTE CARE HOSPITAL - WOMEN,source
"=""01""",GENERAL HOSPITAL,"=""901""",GENERAL HOSPITAL,284300000X,SPECIAL HOSPITAL,source
"=""04""",STATE MENTAL HOSPITAL,"=""904""",STATE MENTAL HOSPITAL,283Q00000X,PSYCHIATRIC HOSPITAL,source
"=""05""",COMMUNITY BEHAVIORAL HEALTH SERVICES,"=""202""",QUALIFIED RESIDENTIAL TREATMENT PROGRAM,322D00000X,"RESIDENTIAL TREATMENT FACILITY, EMOTIONALLY DISTURBED CHILDREN",source
"=""05""",COMMUNITY BEHAVIORAL HEALTH SERVICES,"=""203""",LICENSED RESIDENTIAL TREATMENT PROGRAM,322D00000X,"RESIDENTIAL TREATMENT FACILITY, EMOTIONALLY DISTURBED CHILDREN",source
"=""05""",COMMUNITY BEHAVIORAL HEALTH SERVICES,"=""204""",THERAPEUTIC GROUP CARE,320800000X,"COMMUNITY BASED RESIDENTIAL TREATMENT FACILITY, MENTAL ILLNESS",source
"=""05""",COMMUNITY BEHAVIORAL HEALTH SERVICES,"=""905""",COMMUNITY MENTAL HEALTH SERVICES,251S00000X,COMMUNITY/BEHAVIORAL HEALTH,source
"=""05""",COMMUNITY BEHAVIORAL HEALTH SERVICES,"=""905""",COMMUNITY MENTAL HEALTH SERVICES,261QC1500X,CLINIC/CENTER - COMMUNITY HEALTH,source
"=""05""",COMMUNITY BEHAVIORAL HEALTH SERVICES,"=""905""",COMMUNITY MENTAL HEALTH SERVICES,261QM0801X,CLINIC/CENTER - MENTAL HEALTH (INCLUDING COMMUNITY MENTAL HEALTH CENTER),source
"=""05""",COMMUNITY BEHAVIORAL HEALTH SERVICES,"=""905""",COMMUNITY MENTAL HEALTH SERVICES,261QM0850X,CLINIC/CENTER - ADULT MENTAL HEALTH,source
"=""05""",COMMUNITY BEHAVIORAL HEALTH SERVICES,"=""905""",COMMUNITY MENTAL HEALTH SERVICES,261QM0855X,CLINIC/CENTER - ADOLESCENT AND CHILDREN MENTAL HEALTH,source
"=""06""",AMBULATORY HEALTH CARE FACILITY,"=""906""",AMBULATORY SURGERY CENTER,261Q00000X,CLINIC/CENTER,source
"=""06""",AMBULATORY HEALTH CARE FACILITY,"=""906""",AMBULATORY SURGERY CENTER,261QA0005X,CLINIC/CENTER - AMBULATORY FAMILY PLANNING FACILITY,source
"=""06""",AMBULATORY HEALTH CARE FACILITY,"=""906""",AMBULATORY SURGERY CENTER,261QA0006X,CLINIC/CENTER - AMBULATORY FERTILITY FACILITY,source
"=""06""",AMBULATORY HEALTH CARE FACILITY,"=""906""",AMBULATORY SURGERY CENTER,261QA1903X,CLINIC/CENTER - AMBULATORY SURGICAL,source
