tier,category,specialty,designation_type,specialty_code,provider_count_requirement,travel_time_requirement,enrollees_per_provider,source
1,Primary Care,PCPs (Primary Care Physicians),Contract category,"2 within 8 miles (urban) / 2 within 15 miles (rural)",2 within 8 miles (urban) / 2 within 15 miles (rural),,,Georgia Families Contract Figure 1
1,Primary Care,Pediatricians,Contract category,"2 within 8 miles (urban) / 2 within 15 miles (rural)",2 within 8 miles (urban) / 2 within 15 miles (rural),,,Georgia Families Contract Figure 1
2,Adult Medical Specialties,Adult Allergy/Immunology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Cardiology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Dermatology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Endocrinology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult ENT (Otolaryngology),Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Gastroenterology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult General Surgery,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Hematology/Oncology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Infectious Disease,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Nephrology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Neurology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Ophthalmology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Optometry,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Orthopedics,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Rheumatology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Urology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Adult Medical Specialties,Adult Vascular Surgery,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
2,Pediatric Medical Specialties,Pediatric Allergy/Immunology,Specialist,"1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural)",1 within 30 min/30 miles (urban) / 1 within 45 min/45 miles (rural),,,Georgia Families Contract Figure 1; GeoAccess Report
