provider_type,nucc_code,taxonomy_description,cos,cos_description,match_confidence
33,282N00000X,GENERAL ACUTE CARE HOSPITAL (LTC wing),70,LTC - Skilled,source
33,282N00000X,GENERAL ACUTE CARE HOSPITAL (LTC wing),**65,LTC Full Medicare Coverage,source
33,282N00000X,GENERAL ACUTE CARE HOSPITAL (LTC wing),**72,LTC-NF Skilled-Co-Ins(partial Medicare coverage),source
33,282N00000X,GENERAL ACUTE CARE HOSPITAL (LTC wing),38,"Exceptional Care - TBI LEVEL I
Exceptional Care - TBI LEVEL II
Exceptional Care - TBI LEVEL III
Exceptional Care - VENT",source
33,282N00000X,GENERAL ACUTE CARE HOSPITAL (LTC wing),71,LTC - Intermediate,source
33,282N00000X,GENERAL ACUTE CARE HOSPITAL (LTC wing),083,Developmental Training,source
28,310400000X,ASSISTED LIVING FACILITY,87,LTC - Supportive Living Facility (Waivers),source
38,310500000X,"INTERMEDIATE CARE FACILITY, MENTAL ILLNESS",71,LTC - Intermediate,source
28,311500000X,ALZHEIMER/DEMENTIA CENTER,86,LTC SLF Dementia Care,source
33,313M00000X,NURSING FACILITY / INTERMEDIATE CARE FACILITY,71,LTC - Intermediate,source
33,313M00000X,NURSING FACILITY / INTERMEDIATE CARE FACILITY,083,Developmental Training,source
33,314000000X,SKILLED NURSING FACILITY,70,LTC - Skilled,source
33,314000000X,SKILLED NURSING FACILITY,71,LTC - Intermediate,source
33,314000000X,SKILLED NURSING FACILITY,**65,LTC Full Medicare Coverage,source
33,314000000X,SKILLED NURSING FACILITY,**72,LTC-NF Skilled-Co-Ins(partial Medicare coverage),source
33,314000000X,SKILLED NURSING FACILITY,38,"Exceptional Care - TBI LEVEL I
Exceptional Care - TBI LEVEL II
Exceptional Care - TBI LEVEL III
Exceptional Care - VENT",source
33,314000000X,SKILLED NURSING FACILITY,083,Developmental Training,source
29,3140N1450X,"NURSING CARE, PEDIATRIC",74,LTC--ICF/MR Skilled Pediatric,source
29,3140N1450X,"NURSING CARE, PEDIATRIC",38,Exceptional Care,source
29,3140N1450X,"NURSING CARE, PEDIATRIC",082,Developmental Training,source
29,315P00000X,ICF MENTALY RETARDED,73,LTC--ICF/MR,source
29,315P00000X,ICF MENTALY RETARDED,38,Exceptional Care,source
29,315P00000X,ICF MENTALY RETARDED,082,Developmental Training,source
29,320600000X,"RESIDENTIAL TREATMENT FACILITY, MENTAL RETARDATION AND/OR DEVELOPMENTAL DISABILITIES",76,LTC - Specialized Living Center - Intermediate MR,source
29,320600000X,"RESIDENTIAL TREATMENT FACILITY, MENTAL RETARDATION AND/OR DEVELOPMENTAL DISABILITIES",38,Exceptional Care,source
29,320600000X,"RESIDENTIAL TREATMENT FACILITY, MENTAL RETARDATION AND/OR DEVELOPMENTAL DISABILITIES",082,Developmental Training,source
