taxonomy_code,taxonomy_description
103T00000X,
1041C0700X,
111N00000X,Chiropractor
122300000X,Dentist
1223X0400X,"Surgery, Oral and Maxillofacial"
163W00000X,Registered Nurse
164W00000X,Licensed Practical Nurse
207L00000X,Anesthesiology
207LA0401X,"Anesthesiology, Addiction Med"
207LC0200X,"Anesthesiology, Critical Care"
207LP2900X,"Anesthesiology, Pain Medicine"
207Q00000X,Family Practice
207W00000X,Ophthalmology
213EG0000X,"Podiatrist, General Practice"
225100000X,Physical Therapist
225C00000X,Rehabilitation Counselor
225X00000X,Occupational Therapist
231H00000X,Audiologist
235Z00000X,Speech-Language Pathologist
261Q00000X,Clinic/Center
261QH0100X,Health Department
261QM0801X,Mental Health Clinic/Center
261QM1200X,Magnetic Resonance Imaging
261QM2800X,Methadone
261QP2300X,Primary Care Clinic
261QR0200X,Radiology
261QR0206X,Mammography
261QR0207X,Mobile Mammography
261QR0208X,Mobile Radiology
261QR1300X,Rural Health Clinic
261QS1000X,Student Health Center
261QS1200X,
282N00000X,Gen. Acute Cr. Hosp
282N0000X,Gen. Acute Cr. Hosp
282NC2000X,Gen. Acute Cr. Hosp - Children
330000000X,Supplier
341600000X,Ambulance
343800000X,Secured Medical Transport Van
344600000X,Taxi
363L00000X,Nurse Practitioner
367500000X,"Nurse Anesthetist, Certified Registered"
367A00000X,"Midwife, Certified"
