tier,category,specialty,designation_type,specialty_code,provider_count_requirement,travel_time_requirement,enrollees_per_provider,source
Primary Care,Primary Care,Primary Care - Adult,,,Min 2 (Large Metro & Metro),Large Metro: 10 min / 5 mi; Metro: 15 min / 10 mi; Micro: 30 min / 20 mi; Rural: 40 min / 30 mi; CEAC: 70 min / 60 mi,"1:500 (except Kalkaska 1:692, Missaukee 1:873, Schoolcraft 1:806; all other counties 1:650)",MDHHS CHCP
Primary Care,Primary Care,Primary Care - Pediatric,,,Min 2 (Large Metro & Metro),Large Metro: 10 min / 5 mi; Metro: 15 min / 10 mi; Micro: 30 min / 20 mi; Rural: 40 min / 30 mi; CEAC: 70 min / 60 mi,1:500,MDHHS CHCP
OB/GYN,OB/GYN,"Gynecology, OB/GYN",,,Min 2 (Large Metro & Metro),Large Metro: 10 min / 5 mi; Metro: 15 min / 10 mi; Micro: 30 min / 20 mi; Rural: 40 min / 30 mi; CEAC: 70 min / 60 mi,,MDHHS CHCP
Facility,Facility,Hospital,,,Min 2 (Large Metro & Metro),Large Metro: 20 min / 10 mi; Metro: 30 min / 30 mi; Micro: 30 min / 30 mi; Rural: 60 min / 60 mi; CEAC: 110 min / 100 mi,,MDHHS CHCP
Specialist,Specialist,Cardiology,,,,Large Metro: 20 min / 10 mi; Metro: 30 min / 30 mi; Micro: 30 min / 30 mi; Rural: 60 min / 60 mi; CEAC: 95 min / 85 mi,,MDHHS CHCP
Specialist,Specialist,Neurology,,,,Large Metro: 20 min / 10 mi; Metro: 30 min / 30 mi; Micro: 30 min / 30 mi; Rural: 60 min / 60 mi; CEAC: 110 min / 100 mi,,MDHHS CHCP
Specialist,Specialist,"Oncology - Medical, Surgical",,,,Large Metro: 20 min / 10 mi; Metro: 30 min / 30 mi; Micro: 30 min / 30 mi; Rural: 60 min / 60 mi; CEAC: 110 min / 100 mi,,MDHHS CHCP
Specialist,Specialist,Oncology - Radiation,,,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 100 min / 75 mi; Rural: 110 min / 90 mi; CEAC: 145 min / 130 mi,,MDHHS CHCP
Specialist,Specialist,Orthopedics/Orthopedic Surgery,,,,Large Metro: 20 min / 10 mi; Metro: 30 min / 30 mi; Micro: 30 min / 30 mi; Rural: 60 min / 60 mi; CEAC: 95 min / 85 mi,,MDHHS CHCP
Ancillary,Ancillary,Occupational Therapy,,,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,MDHHS CHCP
Ancillary,Ancillary,Physical Therapy,,,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,MDHHS CHCP
Ancillary,Ancillary,Speech Therapy,,,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,MDHHS CHCP
Behavioral Health,Behavioral Health,Outpatient Clinical Behavioral Health - Adult,,,,Large Metro: 10 min / 5 mi; Metro: 15 min / 10 mi; Micro: 30 min / 20 mi; Rural: 40 min / 30 mi; CEAC: 70 min / 60 mi,,MDHHS CHCP
Behavioral Health,Behavioral Health,Outpatient Clinical Behavioral Health - Pediatric,,,,Large Metro: 10 min / 5 mi; Metro: 15 min / 10 mi; Micro: 30 min / 20 mi; Rural: 40 min / 30 mi; CEAC: 70 min / 60 mi,,MDHHS CHCP
Behavioral Health,Behavioral Health,Psychiatry - Adult,,,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,MDHHS CHCP
Behavioral Health,Behavioral Health,Psychiatry - Pediatric,,,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,MDHHS CHCP
Dental,Dental,Dentistry: General Dentist,,,,Large Metro: 30 min / 15 mi; Metro: 30 min / 30 mi; Micro: 30 min / 30 mi; Rural: 40 min / 40 mi; CEAC: 120 min / 120 mi,"1:650 (except Kalkaska 1:692, Missaukee 1:873, Schoolcraft 1:806)",MDHHS CHCP
Dental,Dental,Dentistry: Endodontics,,,,Large Metro: 30 min / 15 mi; Metro: 60 min / 60 mi; Micro: 60 min / 60 mi; Rural: 120 min / 120 mi; CEAC: 120 min / 120 mi,,MDHHS CHCP
Dental,Dental,Dentistry: Oral Surgery,,,,Large Metro: 30 min / 15 mi; Metro: 60 min / 60 mi; Micro: 60 min / 60 mi; Rural: 120 min / 120 mi; CEAC: 120 min / 120 mi,,MDHHS CHCP
Dental,Dental,Dentistry: Periodontics,,,,Large Metro: 30 min / 15 mi; Metro: 60 min / 60 mi; Micro: 60 min / 60 mi; Rural: 120 min / 120 mi; CEAC: 120 min / 120 mi,,MDHHS CHCP
Dental,Dental,Dentistry: Prosthodontics,,,,Large Metro: 30 min / 15 mi; Metro: 60 min / 60 mi; Micro: 60 min / 60 mi; Rural: 120 min / 120 mi; CEAC: 120 min / 120 mi,,MDHHS CHCP
Ancillary,Ancillary,Pharmacy,,,,Large Metro: 10 min / 5 mi; Metro: 15 min / 10 mi; Micro: 30 min / 20 mi; Rural: 40 min / 30 mi; CEAC: 40 min / 30 mi,,MDHHS CHCP
Specialist,Specialist,Anesthesiology,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Facility,Facility,Outpatient Dialysis,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Ancillary,Ancillary,Durable Medical Equipment,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Facility,Facility,Home Health,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Facility,Facility,Home Infusion,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Facility,Facility,Hospice,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Facility,Facility,Laboratory,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Primary Care,Primary Care,Certified Nurse Midwife,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Specialist,Specialist,Optometry,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Specialist,Specialist,Pathology,,,,Max 30-min travel time regardless county designation,,DIFS (all HMOs)
Specialist,Specialist,Oral & Maxillofacial Surgery,,,,Large Metro: 30 min / 15 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 90 min / 75 mi; CEAC: 125 min / 110 mi,,DIFS (all HMOs)
Specialist,Specialist,Allergy and Immunology,,007,,Large Metro: 30 min / 15 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 90 min / 75 mi; CEAC: 125 min / 110 mi,,DIFS (all HMOs)
Specialist,Specialist,Cardiology,,008,,Large Metro: 20 min / 10 mi; Metro: 30 min / 20 mi; Micro: 50 min / 35 mi; Rural: 75 min / 60 mi; CEAC: 95 min / 85 mi,,DIFS (all HMOs)
Specialist,Specialist,Cardiothoracic Surgery,,035,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 100 min / 75 mi; Rural: 110 min / 90 mi; CEAC: 145 min / 130 mi,,DIFS (all HMOs)
Ancillary,Ancillary,Chiropractor,,010,,Large Metro: 30 min / 15 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 90 min / 75 mi; CEAC: 125 min / 110 mi,,DIFS (all HMOs)
Specialist,Specialist,Dermatology,,011,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Specialist,Specialist,Emergency Medicine,,037,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Specialist,Specialist,Endocrinology,,012,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 100 min / 75 mi; Rural: 110 min / 90 mi; CEAC: 145 min / 130 mi,,DIFS (all HMOs)
Specialist,Specialist,ENT/Otolaryngology,,013,,Large Metro: 30 min / 15 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 90 min / 75 mi; CEAC: 125 min / 110 mi,,DIFS (all HMOs)
Specialist,Specialist,Gastroenterology,,014,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Specialist,Specialist,General Surgery,,015,,Large Metro: 20 min / 10 mi; Metro: 30 min / 20 mi; Micro: 50 min / 35 mi; Rural: 75 min / 60 mi; CEAC: 95 min / 85 mi,,DIFS (all HMOs)
Specialist,Specialist,Infectious Diseases,,017,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 100 min / 75 mi; Rural: 110 min / 90 mi; CEAC: 145 min / 130 mi,,DIFS (all HMOs)
Specialist,Specialist,Nephrology,,018,,Large Metro: 30 min / 15 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 90 min / 75 mi; CEAC: 125 min / 110 mi,,DIFS (all HMOs)
Specialist,Specialist,Neurology,,019,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
