tier,category,specialty,designation_type,specialty_code,provider_count_requirement,travel_time_requirement,enrollees_per_provider,source
1,Specialty Care,Allergy/Immunology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Anesthesiology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Cardiology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Dermatology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Endocrinology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,ENT/Otolaryngology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Gastroenterology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,General Surgery,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Infectious Disease,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Hematology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Nephrology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Neurology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Oncology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Ophthalmology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Optometry,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Orthopedic Surgery,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Pain Management (Board Certified),Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Psychiatry,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Pulmonology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Radiology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Specialty Care,Rheumatology,Standard,,,≥ 2 providers within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Primary Care,Primary Care,Standard,,,≥ 2 providers within 30 min or 10 mi for ≥ 95% of beneficiaries,,NC Reference
1,Hospitals,Hospitals,Standard,,,≥ 1 hospital within 30 min or 15 mi for ≥ 95% of beneficiaries,,NC Reference
1,Pharmacies,Pharmacies,Standard,,,≥ 2 pharmacies within 30 min or 10 mi for ≥ 95% of beneficiaries,,NC Reference
1,Obstetrics,Obstetrics (OB/GYN),Standard,,,≥ 2 providers within 30 min or 10 mi for ≥ 95% of beneficiaries,,NC Reference
1,Allied Health,Occupational Therapists,Standard,,,≥ 2 providers within 30 min or 10 mi for ≥ 95% of beneficiaries,,NC Reference
1,Allied Health,Physical Therapists,Standard,,,≥ 2 providers within 30 min or 10 mi for ≥ 95% of beneficiaries,,NC Reference
1,Allied Health,Speech Therapists,Standard,,,≥ 2 providers within 30 min or 10 mi for ≥ 95% of beneficiaries,,NC Reference
1,Outpatient BH,Outpatient Behavioral Health Services,Standard,,,≥ 2 providers within 30 min or 30 mi for ≥ 95% of beneficiaries,,NC Reference
1,Location-Based Services (BH),Outpatient Opioid Treatment Program (OTP),Standard,,,≥ 2 providers within 30 min or 30 mi for ≥ 95% of beneficiaries,,NC Reference
1,Location-Based Services (BH),Substance Abuse Comprehensive Outpatient Treatment,Standard,,,≥ 2 providers within 30 min or 30 mi for ≥ 95% of beneficiaries,,NC Reference
1,Location-Based Services (BH),Substance Abuse Intensive Outpatient Program,Standard,,,≥ 2 providers within 30 min or 30 mi for ≥ 95% of beneficiaries,,NC Reference
1,Crisis Services (BH),Professional Treatment in Facility-Based Crisis Program (Adult),Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Crisis Services (BH),Facility-Based Crisis Services for Children/Adolescents,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Crisis Services (BH),Ambulatory Withdrawal Management (Without Extended Monitoring),Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Crisis Services (BH),Ambulatory Withdrawal Management (With Extended Monitoring),Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Crisis Services (BH),Medically Monitored Inpatient Withdrawal Services,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Crisis Services (BH),Clinically Managed Residential Withdrawal Services,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Crisis Services (BH),Mobile Crisis Management,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Inpatient BH,Inpatient Hospital - Adult Psychiatric Beds,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Inpatient BH,Inpatient Hospital - Adult MMIIWMS Beds,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Inpatient BH,Inpatient Hospital - Adult MMIS Beds,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Inpatient BH,Inpatient Hospital - Adolescent Psychiatric Beds,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Inpatient BH,Inpatient Hospital - Adolescent/Child MMIS Beds,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Inpatient BH,Inpatient Hospital - Child Psychiatric Beds,Standard,,,≥ 1 provider within each PHP Region,,NC Reference
1,Partial Hospitalization (BH),Partial Hospitalization (BH) - Adults and Children,Standard,,,≥ 1 provider within 30 min or 30 mi for ≥ 95% of beneficiaries,,NC Reference
1,LTSS,All State Plan LTSS (Except Nursing Facilities),Standard,,,≥ 2 LTSS provider types in every county,,NC Reference
1,Nursing Facilities,Nursing Facilities,Standard,,,≥ 1 nursing facility in every county,,NC Reference
