taxonomy_level2_code,taxonomy_level2_description,nucc_code,taxonomy_level3_description,enrollment_types,ccnc_ca_eligible,match_confidence
101Y00000X,Counselor,101YA0400X,Addiction (Substance Use Disorder),INDIVIDUAL,No,source
101Y00000X,Counselor,101YM0800X,Mental Health,INDIVIDUAL,No,source
101Y00000X,Counselor,101YP2500X,Professional,INDIVIDUAL,No,source
103K00000X,Behavior Analyst,,,INDIVIDUAL,No,source
103T00000X,Psychologist,,,INDIVIDUAL,No,source
104100000X,Social Worker,1041C0700X,Clinical,INDIVIDUAL,No,source
106H00000X,Marriage & Family Therapist,,,INDIVIDUAL,No,source
111N00000X,Chiropractor,,,INDIVIDUAL,No,source
122300000X,Dentist,1223D0001X,Dental Public Health,INDIVIDUAL,No,source
122300000X,Dentist,1223D0004X,Dentist Anesthesiologist,INDIVIDUAL,No,source
122300000X,Dentist,1223E0200X,Endodontics,INDIVIDUAL,No,source
122300000X,Dentist,1223G0001X,General Practice,INDIVIDUAL,No,source
122300000X,Dentist,1223P0106X,Oral and Maxillofacial Pathology,INDIVIDUAL,No,source
122300000X,Dentist,1223P0221X,Pediatric Dentistry,INDIVIDUAL,No,source
122300000X,Dentist,1223P0300X,Periodontics,INDIVIDUAL,No,source
122300000X,Dentist,1223P0700X,Prosthodontics,INDIVIDUAL,No,source
122300000X,Dentist,1223S0112X,Oral and Maxillofacial Surgery,INDIVIDUAL,No,source
122300000X,Dentist,1223X0008X,Oral and Maxillofacial Radiology,INDIVIDUAL,No,source
122300000X,Dentist,1223X0400X,Orthodontics and Dentofacial Orthopedics,INDIVIDUAL,No,source
122300000X,Dentist,1223X2210X,Orofacial Pain Dentist,INDIVIDUAL,No,source
12300,Pathology,207ZB0001X,Blood Banking & Transfusion Medicine,INDIVIDUAL,No,source
12300,Pathology,207ZC0006X,Clinical Pathology,INDIVIDUAL,No,source
12300,Pathology,207ZC0500X,Cytopathology,INDIVIDUAL,No,source
12300,Pathology,207ZD0900X,Dermatopathology,INDIVIDUAL,No,source
12300,Pathology,207ZF0201X,Forensic Pathology,INDIVIDUAL,No,source
12300,Pathology,207ZH0000X,Hematology,INDIVIDUAL,No,source
12300,Pathology,207ZI0100X,Immunopathology,INDIVIDUAL,No,source
12300,Pathology,207ZM0300X,Medical Microbiology,INDIVIDUAL,No,source
12300,Pathology,207ZN0500X,Neuropathology,INDIVIDUAL,No,source
12300,Pathology,207ZP0007X,Molecular Genetic Pathology,INDIVIDUAL,No,source
12300,Pathology,207ZP0101X,Anatomic Pathology,INDIVIDUAL,No,source
12300,Pathology,207ZP0102X,Anatomic Pathology & Clinical Pathology,INDIVIDUAL,No,source
12300,Pathology,207ZP0104X,Chemical Pathology,INDIVIDUAL,No,source
12300,Pathology,207ZP0105X,Clinical Pathology/Laboratory Medicine,INDIVIDUAL,No,source
12300,Pathology,207ZP0213X,Pediatric Pathology,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084A0401X,Addiction Medicine,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084D0003X,Diagnostic Neuroimaging,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084F0202X,Forensic Psychiatry,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084N0008X,Neuromuscular Medicine,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084N0400X,Neurology,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084N0402X,Neurology with Special Qualifications in Child Neurology,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084N0600X,Clinical Neurophysiology,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084P0005X,Neurodevelopmental Disabilities,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084P0015X,Psychosomatic Medicine,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084P0800X,Psychiatry,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084P0802X,Addiction Psychiatry,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084P0804X,Child & Adolescent Psychiatry,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084P0805X,Geriatric Psychiatry,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084S0012X,Sleep Medicine,INDIVIDUAL,No,source
12301,Psychiatry & Neurology,2084V0102X,Vascular Neurology,INDIVIDUAL,No,source
12302,Radiology,2085B0100X,Body Imaging,INDIVIDUAL,No,source
12302,Radiology,2085D0003X,Diagnostic Neuroimaging,INDIVIDUAL,No,source
12302,Radiology,2085N0700X,Neuroradiology,INDIVIDUAL,No,source
12302,Radiology,2085N0904X,Nuclear Radiology,INDIVIDUAL,No,source
12302,Radiology,2085P0229X,Pediatric Radiology,INDIVIDUAL,No,source
12302,Radiology,2085R0001X,Radiation Oncology,INDIVIDUAL,No,source
