tier,category,specialty,designation_type,specialty_code,provider_count_requirement,travel_time_requirement,enrollees_per_provider,source
Primary Care,Primary Care,Family Practice,"1, 3",50,3 per county,"30 min public transit (metro) / 30 mi / 30 min (non-metro)",1500 (Medicaid) / 2500-4070 (HARP),MCO Guidelines Att 3
Primary Care,Primary Care,General Practice,"1, 3",776,3 per county,"30 min public transit (metro) / 30 mi / 30 min (non-metro)",1500 (Medicaid) / 2500-4070 (HARP),MCO Guidelines Att 3
Primary Care,Primary Care,Internal Medicine,"1, 3",60,3 per county,"30 min public transit (metro) / 30 mi / 30 min (non-metro)",1500 (Medicaid) / 3550 (HARP),MCO Guidelines Att 3
Primary Care,Primary Care,Pediatrics,"1, 3","150, 050, 060, 066, 776",3 per county,"30 min public transit (metro) / 30 mi / 30 min (non-metro)",1500 (Medicaid) / 6600-8250 (HARP),MCO Guidelines Att 3
Primary Care,Primary Care,HIV Specialist PCP,3,303,3 per county (HIV SNP),"30 min public transit (metro) / 30 mi / 30 min (non-metro)",350 (HIV SNP),MCO Guidelines Att 3
Primary Care,Primary Care,General Dentist,2,"800, 815",N/A,"30 min public transit (metro) / 30 mi / 30 min (non-metro)",2000,MCO Guidelines Att 3
OB/GYN,Obstetrics/Gynecology,Doula,2,755,N/A,N/A,N/A,PNDS Table 1
OB/GYN,Obstetrics/Gynecology,Gynecology,"2, 3",905,N/A,N/A,1500,MCO Guidelines Att 3
OB/GYN,Obstetrics/Gynecology,Nurse Midwife/Certified Midwife,"2, 3",782,N/A,N/A,1500,MCO Guidelines Att 3
OB/GYN,Obstetrics/Gynecology,Obstetrics & Gynecology (OB-GYN),"2, 3",89,N/A,N/A,"1500 (Medicaid) / 8320-10400 (HARP)",MCO Guidelines Att 3
Specialist,Specialist,Allergy & Immunology,"2, 3",30,N/A,N/A,121780 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Chiropractic,"2, 3",162,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Colon Rectal Surgery,"2, 3",30,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Cardiology,"2, 3",10,N/A,N/A,32210 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Dermatology,"2, 3",40,N/A,N/A,35420 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Emergency Medicine,"2, 3",N/A,N/A,N/A,18490 pop/pract,MCO Guidelines Att 3 (v4.0 only - not in PNDS)
Specialist,Specialist,Endocrinology & Metabolism,"2, 3","063, 516",N/A,N/A,121780 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Family Planning,"2, 3",906,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Gastroenterology,"2, 3",64,N/A,N/A,38410 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,General Surgery,"2, 3",210,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Geriatrics,"2, 3","620, 621",N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Neonatal Perinatal Medicine,"2, 3",155,N/A,N/A,192040 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Nephrology,"2, 3",67,N/A,N/A,90780 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Neurology,"2, 3",70,N/A,N/A,94210 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Neurosurgery,"2, 3",194,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Oncology & Hematology,"2, 3","137, 241",N/A,N/A,27740 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Ophthalmology,"2, 3",100,N/A,N/A,21520 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Optometry,2,"714, 716",N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Orthopedics,"2, 3",110,N/A,N/A,16530 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Otolaryngology,"2, 3",120,N/A,N/A,31210 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Palliative Care,"2, 3",826,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Pediatric Surgery,"1, 2, 11, 12",153,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Physical Med & Rehabilitation,"2, 3",160,N/A,N/A,78020 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Plastic Surgery,"2, 3",170,N/A,N/A,92470 pop/pract,MCO Guidelines Att 3
Specialist,Specialist,Podiatry,9,778,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Pulmonary Medicine,"2, 3",68,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Rheumatology,"2, 3",69,N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Thoracic Surgery,"2, 3","220, 651",N/A,N/A,N/A,PNDS Table 1
Specialist,Specialist,Urology,"2, 3",230,N/A,N/A,N/A,PNDS Table 1
Behavioral Health,Behavioral Health,Behavior Analysis,"2, 3",28,N/A,N/A,N/A,PNDS Table 1
Behavioral Health,Behavioral Health,Buprenorphine Prescribers,"2, 3",28,All authorized in service area,N/A,N/A,PNDS Table 1 + MCO Guidelines
Behavioral Health,Behavioral Health,Behavioral Health Providers,"2, 3",750,N/A,N/A,N/A,PNDS Table 1
Behavioral Health,Behavioral Health,Licensed Social Work,4,781,N/A,N/A,N/A,PNDS Table 1
Behavioral Health,Behavioral Health,Child Psychiatry,2,191,N/A,N/A,N/A,PNDS Table 1
Behavioral Health,Behavioral Health,Clinical Psychology,2,"192, 195, 780",N/A,N/A,N/A,PNDS Table 1
Behavioral Health,Behavioral Health,Psychiatry,"2, 3","192, 195",N/A,N/A,6494 pop/pract,MCO Guidelines Att 3
