state,program,specialty,geographic_type,max_time_minutes,max_distance_miles,source,notes
OH,OhioRISE,Substance Use Treatment (provider types 54 and 95),Large Metro,,10,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Substance Use Treatment (provider types 54 and 95),Metro,,30,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Substance Use Treatment (provider types 54 and 95),Micro,,45,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Substance Use Treatment (provider types 54 and 95),Rural,,60,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Counseling (provider types 37, 42, 47, and 52),Large Metro,,10,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Counseling (provider types 37, 42, 47, and 52),Metro,,30,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Counseling (provider types 37, 42, 47, and 52),Micro,,45,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Counseling (provider types 37, 42, 47, and 52),Rural,,60,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Ohio Department of Mental Health Provider (provider type 84),Large Metro,,10,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Ohio Department of Mental Health Provider (provider type 84),Metro,,30,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Ohio Department of Mental Health Provider (provider type 84),Micro,,45,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
