tier,category,specialty,designation_type,specialty_code,provider_count_requirement,travel_time_requirement,enrollees_per_provider,source
Primary Care,Large Metro,Adult Primary Care,MCO,,,10 minutes / 5 miles,,MCO Agreement 2026 Appendix F Table F.2
Primary Care,Metro,Adult Primary Care,MCO,,,15 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Primary Care,Micro,Adult Primary Care,MCO,,,30 minutes / 20 miles,,MCO Agreement 2026 Appendix F Table F.2
Primary Care,Rural,Adult Primary Care,MCO,,,40 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Dental,Large Metro,Adult Dental,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Dental,Metro,Adult Dental,MCO,,,30 minutes / 20 miles,,MCO Agreement 2026 Appendix F Table F.2
Dental,Micro,Adult Dental,MCO,,,50 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Dental,Rural,Adult Dental,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Allergy,MCO,,,30 minutes / 15 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Allergy,MCO,,,53 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Allergy,MCO,,,80 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Allergy,MCO,,,90 minutes / 75 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Large Metro,Behavioral Health,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,Behavioral Health,MCO,,,30 minutes / 20 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,Behavioral Health,MCO,,,50 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,Behavioral Health,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Cardiology,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Cardiology,MCO,,,38 minutes / 25 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Cardiology,MCO,,,60 minutes / 45 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Cardiology,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Outpatient Dialysis,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Outpatient Dialysis,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Outpatient Dialysis,MCO,,,65 minutes / 50 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Outpatient Dialysis,MCO,,,55 minutes / 50 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,ENT/Otolaryngology,MCO,,,30 minutes / 15 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,ENT/Otolaryngology,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,ENT/Otolaryngology,MCO,,,80 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,ENT/Otolaryngology,MCO,,,90 minutes / 75 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Gastroenterology,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Gastroenterology,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Gastroenterology,MCO,,,60 minutes / 45 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Gastroenterology,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,General Surgery,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,General Surgery,MCO,,,30 minutes / 20 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,General Surgery,MCO,,,50 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,General Surgery,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
OB/GYN,Large Metro,"Gynecology, OB/GYN",MCO,,,30 minutes / 15 miles,,MCO Agreement 2026 Appendix F Table F.2
OB/GYN,Metro,"Gynecology, OB/GYN",MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
OB/GYN,Micro,"Gynecology, OB/GYN",MCO,,,80 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
OB/GYN,Rural,"Gynecology, OB/GYN",MCO,,,90 minutes / 75 miles,,MCO Agreement 2026 Appendix F Table F.2
Facility,Large Metro,Hospital,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
