tier,category,specialty,provider_count_requirement,travel_time_requirement
PCP,Primary Care,Primary Care Practitioner (PCP),2,30 min urban / 60 min rural
Tier 1,Specialist,General Surgery,2,30 min urban / 60 min rural
Tier 1,Specialist,Orthopedic Surgery,2,30 min urban / 60 min rural
Tier 1,Specialist,Optometry,2,30 min urban / 60 min rural
Tier 1,Specialist,Allergy and Immunology,2,30 min urban / 60 min rural
Tier 1,Specialist,Rehabilitation,2,30 min urban / 60 min rural
Tier 1,Specialist,Otolaryngology,2,30 min urban / 60 min rural
Tier 1,Specialist,Neurological Surgery,2,30 min urban / 60 min rural
Tier 1,Specialist,Neurology,2,30 min urban / 60 min rural
Tier 1,Specialist,Urology,2,30 min urban / 60 min rural
Tier 1,Specialist,Cardiology,2,30 min urban / 60 min rural
Tier 1,Specialist,Dermatology,2,30 min urban / 60 min rural
Tier 1,Specialist,Gastroenterology,2,30 min urban / 60 min rural
Tier 1,Specialist,Oral Surgery,2,30 min urban / 60 min rural
Tier 1,Specialist,Podiatry,2,30 min urban / 60 min rural
Tier 1,Specialist,Common Laboratory and Diagnostic Service,2,30 min urban / 60 min rural
Tier 1,Specialist,Obstetrical and Gynecological Service,2,30 min urban / 60 min rural
Tier 1,Specialist,Pharmacy,2,30 min urban / 60 min rural
Tier 2,Specialist,Endocrinologist,"1 within travel time + 1 within CHC zone",30 min urban / 60 min rural
Tier 2,Specialist,Rheumatology,"1 within travel time + 1 within CHC zone",30 min urban / 60 min rural
Tier 2,Specialist,Hematology/Oncology,"1 within travel time + 1 within CHC zone",30 min urban / 60 min rural
Tier 2,Specialist,Nephrology,"1 within travel time + 1 within CHC zone",30 min urban / 60 min rural
Tier 1,LTSS,Adult Day - Basic,2,30 min urban / 60 min rural
Tier 1,LTSS,Adult Day - Enhanced,2,30 min urban / 60 min rural
Tier 1,LTSS,Behavior Therapy,2,30 min urban / 60 min rural
Tier 1,LTSS,Benefits Counseling,2,30 min urban / 60 min rural
Tier 1,LTSS,Career Assessment,2,30 min urban / 60 min rural
Tier 1,LTSS,Community Integration,2,30 min urban / 60 min rural
Tier 1,LTSS,Community Transition Services,2,30 min urban / 60 min rural
Tier 1,LTSS,Counseling Services,2,30 min urban / 60 min rural
Tier 1,LTSS,Employment Skills Development,2,30 min urban / 60 min rural
Tier 1,LTSS,Home Health Aide Services,2,30 min urban / 60 min rural
Tier 1,LTSS,Job Coaching,2,30 min urban / 60 min rural
Tier 1,LTSS,Job Finding,2,30 min urban / 60 min rural
Tier 1,LTSS,Nutritional Consultation,2,30 min urban / 60 min rural
Tier 1,LTSS,Physical Therapy Services,2,30 min urban / 60 min rural
Tier 1,LTSS,Residential Habilitation,2,30 min urban / 60 min rural
Tier 1,LTSS,Chore Services,2,30 min urban / 60 min rural
Tier 1,LTSS,Structured Day Habilitation Services,2,30 min urban / 60 min rural
Tier 1,LTSS,Cognitive Rehabilitation Therapy Services,2,30 min urban / 60 min rural
Tier 1,LTSS,Teleservices - Cognitive Rehabilitation Therapy,2,30 min urban / 60 min rural
Tier 1,LTSS,Teleservices - Counseling,2,30 min urban / 60 min rural
