provider_type,type_desc,specialty_code,specialty_desc,taxonomy
01,INPATIENT FACILITY,010,ACUTE CARE HOSPITAL,273100000X
01,INPATIENT FACILITY,010,ACUTE CARE HOSPITAL,286500000X
01,INPATIENT FACILITY,019,INPATIENT DRUG & ALCOHOL HOSPITAL,284300000X
01,INPATIENT FACILITY,441,DRUG AND ALCOHOL REHAB UNIT,276400000X
01,INPATIENT FACILITY,600,COST SHARING ONLY PROVIDER,193400000X
03,EXTENDED CARE FACILITY,030,NURSING FACILITY,314000000X
03,EXTENDED CARE FACILITY,031,COUNTY NURSING FACILITY,314000000X
03,EXTENDED CARE FACILITY,037,STATE LTC UNIT,314000000X
03,EXTENDED CARE FACILITY,038,STATE MENTAL RETARDATION CENTER,314000000X
03,EXTENDED CARE FACILITY,040,CERTIFIED REHAB AGENCY,314000000X
03,EXTENDED CARE FACILITY,382,INP. FACILITY BASED LTC EXT. CARE FACILITY,314000000X
05,HOME HEALTH,025,PERSONAL EMERGENCY RESPONSE SYSTEM,333300000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,090,PEDIATRIC,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,090,PEDIATRIC,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,091,OBSTETRICS / GYNECOLOGY,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,091,OBSTETRICS / GYNECOLOGY,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,092,FAMILY HEALTH,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,092,FAMILY HEALTH,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,093,NURSE PRACTITIONER (PRIMARY CARE),193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,093,NURSE PRACTITIONER (PRIMARY CARE),193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,094,FAMILY HOME HEALTH,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,094,FAMILY HOME HEALTH,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,095,ADULT HEALTH,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,095,ADULT HEALTH,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,096,SCHOOL NURSE,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,096,SCHOOL NURSE,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,097,FAMILY PLANNING,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,097,FAMILY PLANNING,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,098,GERONTOLOGY,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,098,GERONTOLOGY,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,099,EMERGENCY,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,099,EMERGENCY,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,101,NEONATAL,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,101,NEONATAL,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,103,FAMILY AND ADULT PSYCH MENTAL HEALTH,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,103,FAMILY AND ADULT PSYCH MENTAL HEALTH,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,104,ADULT ACUTE CARE,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,104,ADULT ACUTE CARE,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,105,PEDIATRIC ACUTE CHRONIC,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,105,PEDIATRIC ACUTE CHRONIC,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,106,PEDIATRIC CRITICAL CARE,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,106,PEDIATRIC CRITICAL CARE,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,107,ADULT CARDIOPULMONARY,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,107,ADULT CARDIOPULMONARY,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,108,ADULT SURGICAL,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,108,ADULT SURGICAL,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,109,ADULT RENAL METABOLIC,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,109,ADULT RENAL METABOLIC,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,292,ADULT CRITICAL CARE,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,292,ADULT CRITICAL CARE,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,293,ADULT NEUROSCIENCE,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,293,ADULT NEUROSCIENCE,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,294,ADULT ONCOLOGY,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,294,ADULT ONCOLOGY,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,295,ADULT PERIOPERATIVE,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,295,ADULT PERIOPERATIVE,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,297,PEDIATRIC ONCOLOGY,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,297,PEDIATRIC ONCOLOGY,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,298,PERINATAL,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,298,PERINATAL,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,299,WOMEN'S HEALTH,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,299,WOMEN'S HEALTH,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,548,THERAPEUTIC STAFF SUPPORT,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,548,THERAPEUTIC STAFF SUPPORT,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,549,MOBILE THERAPY,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,549,MOBILE THERAPY,193400000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,559,BEHAVIORAL SPECIALIST CONSULTANT,193200000X
09,CERTIFIED REGISTERED NURSE PRACTITIONER,559,BEHAVIORAL SPECIALIST CONSULTANT,193400000X
10,MID-LEVEL PRACTITIONER,141,ACUPUNCTURIST,171100000X
10,MID-LEVEL PRACTITIONER,247,PHARMACIST,183500000X
10,MID-LEVEL PRACTITIONER,600,COST SHARING ONLY PROVIDER,193400000X
11,MENTAL HEALTH / SUBSTANCE ABUSE,112,OUTPATIENT PRACTITIONER-MH,104100000X
11,MENTAL HEALTH / SUBSTANCE ABUSE,116,LICENSED CLINICAL SOCIAL WORKER,193200000X
11,MENTAL HEALTH / SUBSTANCE ABUSE,116,LICENSED CLINICAL SOCIAL WORKER,193400000X
11,MENTAL HEALTH / SUBSTANCE ABUSE,117,LICENSED SOCIAL WORKER,104100000X
11,MENTAL HEALTH / SUBSTANCE ABUSE,117,LICENSED SOCIAL WORKER,193200000X
11,MENTAL HEALTH / SUBSTANCE ABUSE,117,LICENSED SOCIAL WORKER,193400000X
11,MENTAL HEALTH / SUBSTANCE ABUSE,421,AUTISM SOCIAL WORKER,104100000X
14,PODIATRIST,140,PODIATRIST,193200000X
14,PODIATRIST,140,PODIATRIST,193400000X
15,CHIROPRACTOR,150,CHIROPRACTOR,193200000X
15,CHIROPRACTOR,150,CHIROPRACTOR,193400000X
16,NURSE,160,REGISTERED NURSE,193200000X
16,NURSE,160,REGISTERED NURSE,193400000X
16,NURSE,161,LICENSED PRACTICAL NURSE,193200000X
16,NURSE,161,LICENSED PRACTICAL NURSE,193400000X
16,NURSE,162,PSYCHIATRIC NURSE,193200000X
16,NURSE,162,PSYCHIATRIC NURSE,193400000X
17,THERAPIST,170,PHYSICAL THERAPIST,193200000X
17,THERAPIST,170,PHYSICAL THERAPIST,193400000X
17,THERAPIST,170,PHYSICAL THERAPIST,225100000X
17,THERAPIST,171,OCCUPATIONAL THERAPIST,193200000X
17,THERAPIST,171,OCCUPATIONAL THERAPIST,193400000X
17,THERAPIST,172,RESPIRATORY THERAPIST,193200000X
17,THERAPIST,172,RESPIRATORY THERAPIST,193400000X
17,THERAPIST,172,RESPIRATORY THERAPIST,227800000X
17,THERAPIST,172,RESPIRATORY THERAPIST,227900000X
17,THERAPIST,173,SPEECH/HEARING THERAPIST,193200000X
17,THERAPIST,173,SPEECH/HEARING THERAPIST,193400000X
17,THERAPIST,174,ART THERAPIST,193200000X
17,THERAPIST,174,ART THERAPIST,193400000X
17,THERAPIST,174,ART THERAPIST,221700000X
17,THERAPIST,175,MUSIC THERAPIST,193200000X
