specialty,category,programs,travel_time_metro_min,travel_time_micro_min,travel_time_rural_min,provider_count_standard,performance_threshold,implementation_date
Acute Care Hospital,General Services,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,45,45,Choice of 2,90%,2017-03-01
Nursing Facility,General Services,"STAR+PLUS, S+P MMP",N/A,N/A,N/A,Choice of 2,90%,2017-03-01
Obstetrician/Gynecologist (OB/GYN),Primary Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,80,90,Choice of 2,90%,2017-03-01
Prenatal,Primary Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",15,30,40,Choice of 2,90%,2017-03-01
Primary Care Provider (PCP),Primary Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",15,30,40,2 with Open Panel,90%,2017-03-01
Therapies (OT/PT/ST),Primary Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,80,75,Choice of 2,90%,2017-03-01
Audiologist,Specialty Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,80,90,Choice of 2,90%,2018-09-01
Cardiovascular Disease,Specialty Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",30,50,75,Choice of 2,90%,2017-03-01
Otolaryngologist (ENT),Specialty Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,80,90,Choice of 2,90%,2017-03-01
General Surgeon,Specialty Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",30,50,75,Choice of 2,90%,2017-03-01
Ophthalmologist,Specialty Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",30,50,75,Choice of 2,90%,2017-03-01
Orthopedist,Specialty Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",30,50,75,Choice of 2,90%,2017-03-01
Pediatric Sub-specialty,Specialty Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP",30,50,75,Choice of 2,90%,2017-03-01
Psychiatrist,Specialty Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,60,75,Choice of 2,90%,2017-03-01
Urologist,Specialty Care,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,60,75,Choice of 2,90%,2017-03-01
Outpatient Mental Health Services,Behavioral Health,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,45,90,Choice of 2,90%,2017-03-01
Mental Health Targeted Case Management (MHTCM) / Mental Health Rehabilitative Services (MHR),Behavioral Health,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,45,90,Choice of 2,90%,2018-09-01
Substance Use Disorder (SUD) - Outpatient - Chemical Dependency Treatment Facilities,Behavioral Health,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,45,90,Choice of 2,90%,2020-09-01
Substance Use Disorder (SUD) - Outpatient - Opioid Treatment Programs,Behavioral Health,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",45,45,90,Choice of 2,90%,2020-09-01
Main Dentist,Dental,"CMDS, CHIP Dental, STAR Health",45,45,90,2 with Open Panel,95%,2017-03-01
Endodontist,Dental,"CMDS, CHIP Dental, STAR Health",90,90,90,Choice of 2,90%,2017-03-01
Orthodontist,Dental,"CMDS, CHIP Dental, STAR Health",90,90,90,Choice of 2,90%,2017-03-01
Pediatric Dentist,Dental,"CMDS, CHIP Dental, STAR Health",45,45,90,Choice of 2,90%,2017-03-01
Oral Surgeon,Dental,"CMDS, CHIP Dental, STAR Health",90,90,90,Choice of 2,90%,2017-03-01
Assisted Living Facility,LTSS,"STAR+PLUS, S+P MMP",45,80,75,Choice of 2,90%,2018-09-01
Attendant Care,LTSS,"STAR+PLUS, STAR Kids, STAR Health, S+P MMP",N/A,N/A,N/A,Choice of 2 in each county,N/A,2018-09-01
CFC Habilitation Services,LTSS,"STAR+PLUS, STAR Kids, STAR Health, S+P MMP",N/A,N/A,N/A,Choice of 2 in each county,N/A,2018-09-01
Consumer Directed Services (CDS),LTSS,"STAR+PLUS, STAR Kids, STAR Health, S+P MMP",N/A,N/A,N/A,Choice of 2 in each county,N/A,2018-09-01
In-Home Therapies (OT/PT/ST),LTSS,"STAR+PLUS, STAR Kids, STAR Health, S+P MMP",N/A,N/A,N/A,Choice of 2 in each county,N/A,2018-09-01
In-Home Skilled Nursing,LTSS,"STAR+PLUS, S+P MMP",N/A,N/A,N/A,Choice of 2 in each county,N/A,2018-09-01
Private Duty Nursing,LTSS,"STAR Kids, STAR Health",N/A,N/A,N/A,Choice of 2 in each county,N/A,2018-09-01
Pharmacy (MRSA),Pharmacy,"STAR MRSA, STAR Kids MRSA, STAR+PLUS MRSA, CHIP",5,10,25,One,75% Metro / 55% Micro / 90% Rural,2018-09-01
Pharmacy (All Other Programs),Pharmacy,"STAR, STAR Health, STAR+PLUS, STAR Kids, S+P MMP",5,10,25,One,80% Metro / 75% Micro / 90% Rural,2018-09-01
24 Hour Pharmacy,Pharmacy,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",90,90,90,One,90%,2018-09-01
Mail Order Pharmacy,Pharmacy,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, S+P MMP",N/A,N/A,N/A,One,N/A,2018-09-01
All Other Covered Services,All Other,"STAR, STAR Health, STAR+PLUS, STAR Kids, CHIP, CHIP Dental, CMDS, S+P MMP",N/A,N/A,N/A,One,90%,2017-03-01
